elements	col_1	col_2	col_3	col_4	col_5	col_6	col_7	col_8	col_9	col_10	col_11	col_12	col_13	col_14	col_15	col_16	col_17	col_18	col_19	col_20
elem_26	0.961647047	0.440187771	0.300335725	1.071443916	1.242230925	1.39437704	0.117289439	0.30962817	0.15507224	0	0.313099187	0.046415943	0.336016195	0.538876202	0.163794467	0.142602302	0.351136325	0.594856265	2.909057343	1.37154251
elem_27	0.917935817	0.30813144	0.200223817	0.845876776	0.7644498	1.501636812	0.175934159	0.154814085	0.620288961	0.227038835	0.260915989	0.371327542	0.336016195	0.621780233	0.054598156	0.332738704	0.300973992	0.183032697	1.480974648	0.94952943
elem_28	1.792160405	0.616262879	1.201342901	0.733093206	0.907784137	1.984305787	0.175934159	0.619256339	0	0.170279127	0.417465582	0.649823198	0.096004627	0.911944342	0.545981558	0.427806906	0.451460989	0.274549045	2.433029778	1.318790875
elem_29	0.524534753	0.176075108	0.95106313	0.845876776	0.812227912	1.072597723	0.05864472	0.232221127	0.051690747	0.113519418	0.156549593	0.464159427	0	0.538876202	0.163794467	0.095068201	0.401298657	0.274549045	1.110730986	1.107784335
elem_30	0.174844918	0.484206548	0.300335725	0.056391785	0.621115462	0.482668975	0	0.116110564	0.051690747	0.056759709	0	0	0	0.082904031	0	0.047534101	0	0	0.581811469	0.52751635
elem_31	0.174844918	0.352150217	0.200223817	0.451134281	0.621115462	0.375409203	0.293223598	0.812773946	1.137196428	0.737876215	1.565495934	0.835486969	0.720034704	0.994848373	0.655177869	0.998216113	1.254058302	1.235470703	0.31735171	0.580267985
elem_32	1.136491964	0.30813144	0.350391679	0.676701421	0.525559237	0.96533795	0	0.30962817	0.051690747	0.056759709	0.208732791	0.232079714	0.144006941	0.663232249	0.327588935	0.332738704	0.100324664	0.320307219	1.269406841	1.107784335
elem_33	0.917935817	2.377013963	1.501678626	2.199279618	2.245571287	3.217793168	0.586447197	1.122402115	0.620288961	0.51083738	0.365282385	0.789071026	0.576027763	0.74613628	0.163794467	0.522875107	0.802597313	0.777888961	3.385084909	2.637581751
elem_34	1.792160405	1.452619644	4.354868015	3.55268246	2.6755743	3.646832257	0.117289439	1.083698594	0	0.056759709	0.156549593	0.278495656	0.240011568	0.911944342	0.327588935	0.950682012	0.852759645	0.777888961	11.74201328	6.013686391
elem_35	1.355048111	0.220093885	0.300335725	0.733093206	0.7644498	1.716156356	0.351868318	0.696663382	0.31014448	0	0.782747967	0.092831885	0.288013882	0.953396357	0.436785246	0.190136402	0.200649328	0.137274523	2.274353923	1.213287605
elem_36	1.355048111	1.012431873	1.55173458	2.594022113	1.433343375	1.608896584	0.234578879	1.393326764	0.620288961	0.056759709	0.208732791	0.185663771	0.432020822	0.704684264	0.38218709	0.427806906	0.451460989	0.320307219	3.490868812	2.162817035
elem_37	0.087422459	0.132056331	0	0.22556714	0.095556225	0	0.175934159	1.122402115	0.258453734	0.283798544	0.104366396	0.139247828	0.336016195	0.455972171	0.655177869	0.665477409	1.153733638	0.640614439	0.211567807	0.10550327
elem_38	0.131133688	0.30813144	0.250279771	0.281958925	0.286668675	0.643558634	0	0.193517606	0.103381493	0	0.104366396	0.092831885	0	0.041452016	0.163794467	0.047534101	0.100324664	0	0.740487324	0.791274525
elem_39	0.174844918	0.528225325	0.700783359	0.902268561	1.1466747	1.233487381	0	0.193517606	0	0	0.156549593	0.046415943	0.048002314	0	0.054598156	0.047534101	0.050162332	0	3.226409054	0.63301962
elem_40	1.573604258	0.440187771	1.55173458	2.086496048	1.5288996	3.32505294	0.117289439	0.232221127	0.103381493	0.170279127	0.313099187	0.417743485	0.096004627	0.290164109	0.109196312	0.142602302	0.150486996	0.045758174	4.760275653	1.47704578
elem_41	1.092780735	0.440187771	0.800895267	1.409794627	1.242230925	1.340747153	0.293223598	0.193517606	0.051690747	0	0.104366396	0.046415943	0.192009254	0.248712093	0.218392623	0.047534101	0.100324664	0.183032697	2.380137826	1.47704578
elem_42	1.617315488	0.748319211	2.052294122	1.578969982	1.815568275	0.96533795	0.117289439	0.387035212	0.465216721	0	0.104366396	0.232079714	0.816039331	0.290164109	0.109196312	0.237670503	0.150486996	0.183032697	5.659438832	4.536640611
elem_43	4.152566793	2.332995186	6.757553816	4.060208525	5.255592374	5.899287475	0.586447197	1.122402115	1.085505681	0.851395633	0.208732791	0.556991313	0.576027763	1.575176591	0.873570492	0.903147912	0.601947985	0.732130787	8.780063982	8.756771412
elem_44	1.748449176	0.352150217	0.150167863	1.691753552	1.242230925	1.126227609	0	0	0.15507224	0	0.052183198	0.278495656	0	0.331616124	0.272990779	0	0.100324664	0	2.856165392	1.002281065
elem_45	0.043711229	0.088037554	0.400447634	0.056391785	0.095556225	0.053629886	1.114249674	1.973879582	0.930433441	2.043349518	1.565495934	1.392478282	2.256108739	2.570024964	1.583346518	2.614375534	2.156980279	3.203072194	0	0
elem_46	0.655668441	0.792337988	0.550615496	0.845876776	0.621115462	0.911708064	2.287144068	1.548140849	1.240577921	2.610946606	2.191694307	1.856637709	0.912043958	1.202108451	3.057496724	1.996432226	1.555032295	7.595856918	3.490868812	1.16053597
elem_47	0.174844918	0.088037554	0.400447634	0.056391785	0.143334337	0.214519545	0.117289439	0	0.31014448	0.056759709	0.104366396	0.464159427	0.192009254	0.041452016	0.272990779	0.237670503	0.200649328	0	0.158675855	0.10550327
elem_48	0.087422459	0.30813144	0.200223817	0.281958925	0.525559237	0.429039089	0	0.038703521	0	0.227038835	0.052183198	0.139247828	0.048002314	0.165808062	0	0	0.25081166	0.091516348	0.211567807	1.0550327
elem_49	0.393401065	0.352150217	0.250279771	0.169175355	0.525559237	0.536298861	0	0	0	0.227038835	0	0.092831885	0.096004627	0.165808062	0	0	0.050162332	0.091516348	0.581811469	0.42201308
elem_50	0.437112294	0.176075108	0.60067145	0.169175355	1.051118475	0.482668975	0	0.116110564	0.103381493	0	0.260915989	0.139247828	0.096004627	0	0	0.190136402	0.150486996	0.457581742	1.269406841	1.213287605
elem_51	0.262267376	0.264112663	0.550615496	0.507526066	0.3822249	0.375409203	0	0.270924649	0	0	0	0.232079714	0.144006941	0	0	0.095068201	0.25081166	0	0.846271227	0.474764715
elem_52	1.180203194	0.660281656	1.301454809	0.958660346	1.194452812	1.072597723	0.410513038	0.232221127	0.051690747	0	0.052183198	0.139247828	0.480023136	0.248712093	0	0.380272805	0.300973992	0.274549045	1.745434406	1.58254905
elem_53	3.103497287	1.276544536	2.753077481	3.101548179	3.678914662	4.612170208	0.351868318	0.812773946	0.103381493	0.340558253	0.678381571	0.603407255	0.384018509	0.704684264	0.600579714	0.190136402	0.200649328	0.274549045	5.765222735	3.903620991
elem_54	0.437112294	1.05645065	0.350391679	0.676701421	0.430003012	0.482668975	1.290183833	1.973879582	1.137196428	1.248713594	1.252396747	1.02115074	1.152055526	1.575176591	1.583346518	1.663693522	1.555032295	5.490980904	2.221461971	1.002281065
elem_55	0.437112294	1.100469427	0.300335725	0.394742496	0.334446787	0.429039089	0.762381356	1.2772162	0.516907467	0.681116506	0.156549593	0.417743485	0.240011568	1.326464497	0.600579714	0.665477409	0.902921977	0.320307219	1.057839034	1.0550327
elem_56	0.349689835	0.396168994	0.200223817	0.056391785	0.525559237	0.053629886	0.234578879	1.161105637	0.258453734	0.96491505	0.104366396	0.185663771	0.240011568	0.74613628	0.873570492	0.475341006	0.25081166	1.784568794	0.952055131	0.896777795
elem_57	0.043711229	0.044018777	0	0	0	0	0.117289439	1.393326764	0.051690747	0.397317962	0.156549593	0	0.192009254	0.704684264	0.38218709	0.475341006	0.200649328	0.640614439	0.052891952	0
elem_58	0	0.132056331	0.150167863	0.169175355	0.286668675	0.160889658	0	0	0	0.113519418	0	0	0	0.124356047	0.436785246	0	0	0.091516348	0.105783903	0.580267985
elem_59	0.087422459	0.176075108	0.150167863	0.22556714	0.238890562	0.321779317	0.175934159	0.077407042	0.15507224	0	0	0.046415943	0	0.414520155	0.054598156	0.095068201	0.25081166	0	0.31735171	0.263758175
elem_60	0.786802129	0.440187771	1.001119084	0.394742496	1.051118475	0.643558634	0.234578879	0.503145776	0.620288961	0.794635924	0.521831978	0.556991313	0.288013882	0.74613628	0.218392623	0.285204604	1.003246642	0.915163484	1.375190744	1.213287605
elem_61	0.611957212	0.792337988	1.001119084	0.676701421	1.290009037	1.179857495	0.175934159	0.30962817	0.465216721	0.170279127	0.417465582	0.649823198	0.384018509	0.414520155	0.272990779	0.617943308	0.652110317	0.777888961	1.692542454	1.79355559
elem_62	1.529893029	0.924394319	0.60067145	1.071443916	1.051118475	1.877046015	0	0.077407042	0.413525974	0	0.156549593	0.278495656	0.240011568	0.290164109	0.491383402	0.142602302	0.501623321	0.274549045	2.750381488	1.424294145
elem_63	0.218556147	0.088037554	0.150167863	0.789484991	0.525559237	0.804448292	0.117289439	0.270924649	0.051690747	0	0.365282385	0.046415943	0.048002314	0.082904031	0	0.047534101	0.200649328	0.411823568	1.322298792	1.002281065
elem_64	1.879582864	0.704300433	1.051175038	1.860928907	2.341127512	2.842383965	0.117289439	0.232221127	0	0.170279127	0.313099187	0.278495656	0.192009254	0.290164109	0.163794467	0.380272805	0.25081166	0.320307219	4.707383701	2.1100654
elem_65	1.4861818	0.924394319	0.500559542	2.650413898	1.863346387	3.432312713	0.234578879	0.232221127	0.465216721	0.113519418	0.46964878	0.139247828	0.144006941	0.414520155	0.327588935	0.142602302	0.050162332	0.320307219	5.342087122	1.529797415
elem_66	2.054427782	1.276544536	3.353748931	2.932372824	3.010021087	3.378682827	0.293223598	0.928884509	0.516907467	0.397317962	0.521831978	0.464159427	0.384018509	0.74613628	0.436785246	0.380272805	0.501623321	0.274549045	7.563549093	4.694895516
elem_67	7.562042686	8.01141743	22.67534725	14.09794627	18.3467952	15.8744463	1.583407432	2.089990146	1.292268668	1.9298301	1.043663956	1.206814511	1.344064781	1.865340699	1.255757583	1.758761723	1.956330951	3.15731402	31.04757565	25.58454298
elem_68	2.972363599	0.484206548	0.200223817	2.312063188	2.245571287	3.217793168	0.234578879	0.232221127	0.258453734	0.056759709	0.260915989	0.371327542	0.432020822	0.455972171	0.054598156	0.665477409	0.050162332	0.137274523	3.808220522	1.0550327
elem_69	1.661026717	0.484206548	1.251398855	1.522578197	2.436683737	1.769786243	0.351868318	0.425738733	0.723670454	0.113519418	0.46964878	0.185663771	0.288013882	0.621780233	0.327588935	0.190136402	0.601947985	1.235470703	4.019788329	2.584830116
elem_70	0.480823523	0.132056331	0.300335725	0.281958925	0.334446787	0.429039089	0.351868318	0.503145776	0.31014448	0.113519418	0.260915989	0.556991313	0.096004627	0.165808062	0.818972337	0.190136402	1.003246642	0.54909809	0.528919517	0.10550327
elem_71	2.098139011	0.880375542	2.202461985	1.578969982	2.771130525	2.735124193	0.175934159	0.890180988	0	0.397317962	0.521831978	0.603407255	0.52802545	0.994848373	0.163794467	0.522875107	0.351136325	0.823647136	4.654491749	2.584830116
elem_72	0.568245982	0.220093885	0.95106313	0.451134281	0.525559237	1.287117267	0	0.30962817	0.051690747	0.113519418	0.156549593	0.092831885	0.048002314	0.414520155	0.054598156	0.237670503	0.050162332	0.320307219	2.009894165	0.52751635
elem_73	1.398759341	0.528225325	0.500559542	2.030104263	1.290009037	1.555266698	0.234578879	0.619256339	0.361835227	0.227038835	0.46964878	0.092831885	0.096004627	0.704684264	0.491383402	0.047534101	0.25081166	0.137274523	3.12062515	1.0550327
